CIDEXISTENCIA,CIDALMACEN,CIDPRODUCTO,CIDEJERCICIO,CTIPOEXISTENCIA,CENTRADASINICIALES,CSALIDASINICIALES,CCOSTOINICIALENTRADAS,CCOSTOINICIALSALIDAS,CENTRADASPERIODO1,CENTRADASPERIODO2,CENTRADASPERIODO3,CENTRADASPERIODO4,CENTRADASPERIODO5,CENTRADASPERIODO6,CENTRADASPERIODO7,CENTRADASPERIODO8,CENTRADASPERIODO9,CENTRADASPERIODO10,CENTRADASPERIODO11,CENTRADASPERIODO12,CSALIDASPERIODO1,CSALIDASPERIODO2,CSALIDASPERIODO3,CSALIDASPERIODO4,CSALIDASPERIODO5,CSALIDASPERIODO6,CSALIDASPERIODO7,CSALIDASPERIODO8,CSALIDASPERIODO9,CSALIDASPERIODO10,CSALIDASPERIODO11,CSALIDASPERIODO12,CCOSTOENTRADASPERIODO1,CCOSTOENTRADASPERIODO2,CCOSTOENTRADASPERIODO3,CCOSTOENTRADASPERIODO4,CCOSTOENTRADASPERIODO5,CCOSTOENTRADASPERIODO6,CCOSTOENTRADASPERIODO7,CCOSTOENTRADASPERIODO8,CCOSTOENTRADASPERIODO9,CCOSTOENTRADASPERIODO10,CCOSTOENTRADASPERIODO11,CCOSTOENTRADASPERIODO12,CCOSTOSALIDASPERIODO1,CCOSTOSALIDASPERIODO2,CCOSTOSALIDASPERIODO3,CCOSTOSALIDASPERIODO4,CCOSTOSALIDASPERIODO5,CCOSTOSALIDASPERIODO6,CCOSTOSALIDASPERIODO7,CCOSTOSALIDASPERIODO8,CCOSTOSALIDASPERIODO9,CCOSTOSALIDASPERIODO10,CCOSTOSALIDASPERIODO11,CCOSTOSALIDASPERIODO12,CBANCONGELADO,CTIMESTAMP
120320,1,2758,9,1,20,20,7649.21,7649.21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,0,
120321,1,427,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120322,1,705,9,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120323,1,2525,9,1,160,160,4428.9,4029.9,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,0,
120324,1,4374,9,1,714,714,13732.04,13349.26,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,0,
120325,1,2203,9,1,6304,5741,14010.65,12889.86,6304,6304,6304,6304,6304,6304,6304,6304,6304,6304,6304,6304,5741,5741,5741,5741,5741,5741,5741,5741,5741,5741,5741,5741,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,0,
120326,1,3074,9,1,1526,1078,16338.45,240269.84,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,0,
120327,1,4817,9,1,220,220,70638.06,70260.26,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,0,
120328,1,4677,9,1,55123,53703.3,718236.73,1869061.5,55123,55123,55123,55123,55123,55123,55123,55123,55123,55123,55123,55123,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,0,
120329,1,4678,9,1,8050,7595.8,117537.6,107786.74,8050,8050,8050,8050,8050,8050,8050,8050,8050,8050,8050,8050,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,0,
120330,1,2914,9,1,4494,4330,79699.2,76649.03,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4330,4330,4330,4330,4330,4330,4330,4330,4330,4330,4330,4330,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,0,
120331,1,332,9,1,5125,4466,21215.25,17653.36,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,0,
