id,codigo,nombre,Peso[Kg],unidad,precio público sin IVA,precio mínimo de venta,precio mayoreo sin IVA,precio distribuidor sin IVA,Precio Medio Mayoreo sin IVA,Marca,Codigo SAT,ean,Volumen[cm3],,Familia,Descripción Familia
100048,PET-15X,"Llave ajustable (perico) 15' cromada, TRUPER",1.09,Pieza,504.31,375,418.1,323.28,461.21,Truper,27111707,7.50624E+12,1374.84,,P085,Llaves ajustables
100049,PET-15C,"Llave ajustable (perico) 15' profesional cromada, EXPERT",1.33,Pieza,711.21,525,590.52,452.59,642.24,Expert,27111707,7.50624E+12,1362.636,,P085,Llaves ajustables
100098,REP-CUT-5X,"Estuche con 10 cuchillas SK2 de 9 mm para cutter, EXPERT",0.035,Set,24.14,18,19.83,15.52,22.41,Expert,27111503,7.50624E+12,88.913,,P049,Cutters y exactos
100099,REP-CUT-6X,"Estuche con 10 cuchillas SK2 de 18 mm para cutter, EXPERT",0.085,Set,42.24,32,36.21,27.59,39.66,Expert,27111503,7.50624E+12,152.187,,P049,Cutters y exactos
100101,REP-CUT-650,"Estuche con 50 cuchillas SK4 de 18 mm para cutter, TRUPER",0.368,Set,116.38,85,94.83,73.28,103.45,Truper,27111503,7.50624E+12,315,,P049,Cutters y exactos
100103,ST-724X,"Disco sierra 7-1/4' p/madera, 24 dientes centro 5/8', EXPERT",0.32,Pieza,292.24,215,240.52,185.34,266.38,Expert,23231200,7.50624E+12,477.201,,P129,Discos de sierra
100104,ST-740X,"Disco sierra 7-1/4' p/madera, 40 dientes centro 5/8', EXPERT",0.34,Pieza,357.76,265,297.41,228.45,323.28,Expert,23231200,7.50624E+12,447.521,,P129,Discos de sierra
100105,ST-1040EX,"Disco sierra 10' para madera, 40 dientes centro 1', EXPERT",0.72,Pieza,573.28,425,478.45,366.38,530.17,Expert,23231200,7.50624E+12,911.354,,P129,Discos de sierra
100106,ST-1060EX,"Disco sierra 10' para madera, 60 dientes centro 1', EXPERT",0.725,Pieza,676.72,500,560.34,431.03,616.38,Expert,23231200,7.50624E+12,923.67,,P129,Discos de sierra
100107,ST-1240EX,"Disco sierra 12' para madera, 40 dientes centro 1', EXPERT",1.16,Pieza,831.9,615,685.34,530.17,754.31,Expert,23231200,7.50624E+12,1294.29,,P129,Discos de sierra
